,Review
0,Jujur excited bgt cobain produk ini karena kandungannya oke dan harganya super super affordable! Pas abis pake kulit enaaaak bgt rasanya bener2 soft and supple tp aku sedikit keluar beruntusan jd agak sad.. mungkin kl di terusin terus jadi oke
1,"Memakai raiku night cream ini cocok rasanya di muka aku, ga ada keluhan apapun, hanya sedikit agak kering kalo bangun tidur pagi, kemasan tube jadi lebih higienis"
2,"Iseng nyari anti aging cream produk lokal dan kebetulan lagi diskon jadi ga ragu buat nyoba, setelah abis 1 tube ini baru berani review, dan ga begitu berpengaruh dimuka. Untuk efek lembab agak dapet sih, thatâ€™s all."
3,"Suka banget sama night cream ini. Teksturnya lembut, mudah menyerap. Dan ternyata bisa bikin kulit wajah agak cerahan. Kulit juga lumayan kenyal dan pastinya gak bikin bruntusan"
4,Krimnya warna putih tanpa wangi spesifik. Teksturnya seperti night cream pada umumnya yg cukup thick tapi mudah diratakan. Sayangnya di kulitku yg kering lembabnya kurang. Untuk efek anti aging di 1 tube habis belum terasa. Prosnya di kemasan yg flip cap jd travel friendly. Mungkin..
5,"ga cocok untuk kulit kering q sepertinya. setelah sebulan pake malah bikin makin kering, area mulut dan hidung jd kaya ada kerak gtu. bagusnya sih produk ini ga ada aroma wangi dah gtu ga bikin panas waktu diaplikasikan."
6,"nyoba produk ini karena nyari anti aging yang halal dan murah, tapi harga memang bersuara, sepertinya nggak berpengaruh apa-apa di muka, malah membuat wajahku kusam."
7,"Aku udah pake 2 tube, tp sejauh ini hasilnya so so aja, cukup melembabkan tp gak mengurangi garis-garis usia di wajah aku. Aku pake barengan sama serum dan cream siangnya."
8,"Awal nya aku pikir night cream nya ini bakalan B aja , ternyata ya ini okeh juga ! . Kandungan utamanya ada Niacinamade, Collagen, dan Milk . . Tekstur creamnya semi semi gel gitu, gampang banget menyerap, ringan juga , dan gak lengket. Wanginya soft Dikemas dalam tube flip flop .."
9,"Penasaran cobain Raiku setelah baca-baca beberapa review yang bilang bagus. Pakai ini setelah toner dan serumnya. Ga lengket dan tidak berminyak di kulit. 5 malam pakai, belum ada efek apapun sih, tapi so far jg ga bikin iritasi atau jerawatan"
10,"Night cream ini bgus bgt tekstur nya jg lembut and soft bgt bau nya jg tidak terlalu menyengat dan ini cocok bgt si di kulit aku yang berminyak, dan juga mencerahkanï¼ˆï¼¾Ï‰ï¼¾ï¼‰"
11,Enak sih gampang nyerap di kulit. Trus murah jg pas lagi promo tapi blm terlalu ngaruh di kulit aku. Pernah aku pakai habis serum loreal tuh bsknya ada jerawat kecil. Kalau dipakai tanpa serum aman2 aja.
12,"setelah pemakaian 2 tube product ini dan rangkaian yang lainnya (day cream & serum) hasil yang aku rasain hanya moisturized enough.. untuk hasil lainnya, ga terlalu berpengaruh ya di kulit akuu... eventhough ga breakout & purging di aku.. untuk harga sangat bersahabat yaaa.. bisa d.."
13,"sejujurnya diawal salah beli karna niatnya mau beli yg brightening eh jadi yg anti aging. tapi ini works dikulit aku. pas bangun tidur ga bikin wajah minyakan banget tapi tetep kasih efek lembab, wajah jadi lebih kencang dan halus sampe kaget sendiri mungkin karena kandungan kolage.."
14,"Awalnya beli produk ini karena pacakgingnya lucu dan kandungan bahannya oke, tapi pas dipake termyata ga cocok di aku dan langsung bruntusan padahal aku beli macemÂ² produk dari raiku tapu ga ada yg cocok"
15,"Overall lumayan bagus, ga bikin breakout di kulitku yg oily acne prone, teksturnya juga enak buat dipake setelah serum. Tapi untuk hasil udah pake setengah botol belum ada perubahan yg signifikan sih mungkin hasilnya baru keliatan kalau udh beberapa botol karena dia sifatnya anti a.."
16,"Beli udah lama tp baru sempet review, aku pake product ini bener nglembabin wajah aku. sesuai sama claim nya sih membantu menyamarkan noda hitam, membantu kulit terasa lebih kenyal. Tapi product ini gabisa mencerahkan wajah aku sejauh ini."
17,"Sepertinya aku nggak cocok pakai night cream ini. Setelah beberapa kali pemakaian di wajahku muncul beberapa jerawat (bukan karena bulanan). Untuk efeknya nggak terlihat juga di wajahku, misalnya lebih mencerahkan atau gimana. Untuk packaging oke, aman dan higienis. Tekstur krim no.."
18,"sebenernya emang ga begitu suka sama moisturizer apapun krn lebih suka yg teksturnya ringan kaya serum. cuma penasaran banget coba krim dr brand raiku karena namanya unik wkwk packagingnya juga lucu, dan produk localğŸ˜ di aku cukup cocok sih. pas ada kandungan niacinamide nya, tp d.."
19,"Ini merupakan moisturizer pertamaku yang lebih konsentrasi pada anti aging. Kemasan tube seperti ini merupakan kemasan yang aku suka karena mudah dibawa kemana-mana, serta fit in my pouch. Teksturnya seperti gel putih dan wanginya hampir tidak ada, saat diaplikasikan sangat ringan .."
20,"Aku udah botol ke tiga, dari semua merk yg kucoba ini paling nampol aku beli satu series untuk anti aging. bikin wajah bener2 keadaan baik. sampai saat ini tetep pake bener2 super luv. packaging lebih baik dr pada dulu yg pake pipet"
21,Akhirnyaaa setelah ganti2 krim malam nemu yang cocok juga. Tekstur lebih ringan dibanding krim pagi. Rutin pakai efek jadi lebih terasa. Two thumbs untuk raikuğŸ‘ğŸ‘
22,pokoknya suka smua produk dr raikuğŸ¥°ğŸ¥° Alhamdulilah cocok dimukaku. wanginya enak. melembabkan. bangun tidur jd glowing digosok2 bukan krn minyak lho. pokoknya aku suka n cocok pake produk raiku yg anti-aging
23,Suka sekali menggunakan krim malam ini Karena paginya kulitku terasa lebih kenyal dan lembab. Mampu menyamarkan garis halus atau kerutan di dahi dan juga di sekitar area mata
24,"Krim anti aging pertama yang aku beli daaaan suka bangeeeett!! Pertama kali pakai langsung rangkaian sama anti agimg serumnya, besok paginya kulit jadi kenyal&moist. Krimnya pun cepat menyerap ketika digunakan, terus juga ngga berbau menurutku. Basically aku belum merasa ada garis .."
25,"Awalnya coba2 karena harganya murah. Pas di coba di malam pertama dia bikin muka besoknya jadi lebih kenceng emang, gak signifikan sih tapi lebih seger lebih sehatnya keliatan hehee warna packagingnya sih aku suka banget hehee"
26,Night cream yang bagus dan recommended banget. Bikin wajah kenyal pas paginya dan lumayan mencerahkan juga. Teksturnya cream biasa dan baunya ngga menyengat.
27,"Udah 2 minggu pakai Raiku Anti Aging Night Cream ini dan so farr sukaaa! Pertama teksturnya cream tapi mudah banget diresap ke wajah dan gak meninggalkan white cast. Habis pakai ini kulit wajah terasa kenyal, lembab, dan lebih ternutrisi. Awalnya beli ini karena unik packaging-nya .."
28,Night cream ini teksturnya mau mirip sleeping mask.. Aman karena tidak mengandung paraben. Ada kandungan nialcinamide dan susu yang bisa menyamarkan noda hitam. Terdapat kandungan kolagrn juga yang membuat kulit terasa lebih kenyal pas bangun tidur dipagihari. Kandungan asam hylur..
29,"Raiku anti aging cream, teksturnya mirip yang day cream. Creamnya berwarna putih pekat agak kental. Dan yang aku suka tidak berbau atau no parfume. Jadi bagi yg punya kulit sensitif masih aman kok. Dan yang bikin aku suka lagi, malem pakai ini. Paginya kulit terasa lembab dan kenya.."
30,"Baru pakai beberapa hari ini, utk hasil kulitku paginya jd ngerasa lebih halus, lembab. Utk klaimnya sendiri meratakan warna kulit sih lumayan tp utk menyamarkan noda aku blm liat hasilnya. Lebih kenyal dan lembab iyaa dan mengurangi tanda penuaan aku jg blm liat hasilnya, mgkn kar.."
31,"Awalnya nyobain karena diskon di Sociolla lumayan banget.. dan udah tube ke 3ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ» so far cocok-cocok aja, dan ga bikin break out mknya selalu repurchase dan nyetok tiap kalo ada diskon di sociolla"
32,"produk andalan untuk anti aging dari Raiku. Setelah memakai night cream ini, wajah terasa lembab tapi tidak berminyak serta kenyal. Di saya cocok tidak menimbulkan jerawat. Pagi hari wajah terasa lembut dan kenyal. Apalagi kalau di tambah dengan serum anti agingnya. harga termasuk .."
33,"well awalnya aku nggak expect apa-apa ke produk ini karena menurutku ingredientsnya biasa aja, nggak kaya produk-produk anti aging lainnya. tapi ternyata setelah hampir 2 minggu pakai beneran ampuh dong. garis di bibir kiri ku udah memudar, kalau yang kanan masih dalam proses walau.."
34,"Sudah habis dua tube dan sejauh ini aman tidak ada masalah di wajah. Saya suka karena produk ini cepat menyerap dan melembapkan, lalu ada kandungan niacinamide dan collagennya juga."
35,"Aku pake ini baru sekitar semingguan, efeknya di kulit aku agak mencerahkan, kenyal dan terlihat sehat. Untuk efek anti agingnya sih blm kerasa, gatau ya mgkin bakal kerasa kalau dipake sm org yg 30+ .Packagingnya juga enak dibawa travelling. Pokoknya udah nyaman bgt deh sama produ.."
36,"Overall, enak dipakainya. Gak menimbulkan efek samping yang buruk. Malah melembabkan, jadi mengurangi garis halus. Baca lebih lengkap di sini ya: https://www.nisaahani.com/2019/07/raiku-beauty-anti-aging-series-skincare.html"
37,"Awalnya bisa beli ini krn diskon di sociolla yang jadi murceee ğŸ˜‹ jadilah kepo ama produk ini ditambah ini brand local Pertama kali pake produk ini, agak bingung ama teksturnya sih karena dia putih kaya cream tapi kalo diaplikasiin semacam gel..jadi ini cream engga berat diwajah tp.."
38,"Beli ini direkomendasiin temen yg addict banget sama anti aging, supaya gak keriputan katanya.. Hmmm di aku sih kurang dapat manfaat maksimalnya yaa, namanya anti aging gitu bingung juga si raiku ini emang udh bekerja di kulit wajahku atau gimana. Yg aku rasain smile lines ya tetap.."
39,"Night cream yg top bgt.untuk tekstur lebih cair dari yg morning cream (raiku) ,cepat nyerap waktu di aplikasikan di wajah aku.wanginya gak menyengat bahkan hampir gak ada baunya menurut aku.setelah diaplikasikan pada malam hari,pagi hari kulit terasa lembab.kusam juga berkurang.di .."
40,"cobain beli krim anti penuaan dini merk Raiku ini karena lagi ada diskon di Sociolla, tekstur krimnya tuh ringan banget ga lengket setelah di aplikasikan ke wajah emang terasa kenyal dan lembab gitu di kulit, dan cepat meresap setelah pemakaian secara instant emang aku ngerasa kuli.."
41,beliin ini untuk my mom lg hahahah biar beliau tetep cantik awet muda gitu yakaan hahah tp blm terlalu keliatan sih hasilnya tp mau liat sampe ke depannya gimana soalnya ini juga makenya kan baru belum lama
42,"Suka dengan cream ini, melembabkan sampai pagi, tidak bikin breakout buat kulitku yang sensitif. Tektur thick dan gak perlu pake banyak2 selain itu cream tidak cepat menyerap bisa sambil pijit2 muka pake tool hehehe"
43,"Krim malam yang agak lama meresapnya dan cukup lengket di kulit. Tapi untuk yang butuh krim malam yang melembabkan, mungkin bisa dicoba. Packagingnya simple dan harganya terjangkau."
44,"Teksturenya sebenernya enak gampang diaplikasikan, gak lengket dan cukup melembabkan kalau kulit lagi gak kering banget. Tapi yang paling disuka adalah cream ini gak membuat kulit panas/keringetan dan karena bentuknya tube jadi enak aja dibawa dan dipencet2."
45,"Untuk kulit saya entah kenapa blm begitu cocok, tiap hbs pakai produk ini tone kulit jd turun 1 tingkat. Tujuannya kmrn ngilangin kerutan halus sih tp krn tone kulit jd turun akhirnya krg suka"
46,"Coba ini karena night cream yg biasa aku pake lg abis, pas mau beli eh ini lg diskon 50% jd beli deh. Cukup bikin kulit wajah aku jd kenyal pas bangun di pagi hari. Setelah pemakaian hampir 1bln belum ada efek yg signifikan untuk ngurangin kerutan dan flek hitam di wajah aku."
47,"Pertama kenal raiku dr media sosial & pertama yg aku coba cream ini, awal make sih seperti gak ngefek, tp sekarang (walaupun blm hbs) puas banget sama hasilnya, kondisi kulit makin sehat,bedak gampang ngeblend, yg tadinya shade yg aku pake kalo dipake jd abu atau keliatan tebel, sk.."
48,"Krim malam yang aman untuk ibu hamil dan menyusui. Tekskurnya lembut dan langsung menyerap ke kulit. Digunakan setelah wajah dibersihkan dengan toner, dn setelah penggunaan serum."
49,"Yang jelas sich ini duo yang pas dengan day creamnya. Di aku sich ngefek yaa, kulit jadi lembut, kenyal dan lembab. Pake ini malem, besok paginya kulit lembutt banged."
50,"Baru beberapa hari pake ini dan aku suka banget sama texture-nya lembut parah. Belom tau sih hasilnya gimana namanya juga anti aging product pasti butuh waktu yang cukup lama. Cuma so far sama sekali ga bikin break out sih, semoga hasilnya beneran ada hehe"
51,Enak dan nyaman di pake malem - malem. Cuma memang gak bisa lansung tidur setelah pake ini karena awal - awal masih ada lengket - lengket gitu. Tapi pas bangun pagi kulit jadi elastis.
52,"Tertarik sama Raiku karena suka design packagingnya, dan dari liat-liat ingredients semua produknya, paling tertarik sama yang ini. Niacinamide lumayan tinggi (ada yang tau berapa persenkah?) dan Camellia Seed Oil, Sodium PCA, & Bisabolol, yang kandungannya jauh lebih tinggi (dan m.."
53,Teksturnya gampang menyerap ke kulit... Semoga klaim sebagai anti aging nya berpengaruh di aku... Senaaangnyaaa karena produk ini NO PARABEN dan pastinya halalan toyyiban.. Hahahahaha... Luv Luv...
54,"Beruntung banget beli ini pas diskon 50% dan free ongkir. Memang lagi nyari product anti aging dan ini produk lokal so why not buat coba. Teksturnya kental berwarna putih seperti pelembab wajah dan baunya juga gak begitu nyengat, cuma seperti obat2an kalau menurutku. Semoga cocok d.."
55,"membantu memudarkan noda jerawat dan membuat kulit terasa kenyal, menyerapnya juga cepat, jadi ga ada rasa berminyak tapi wajah tetap lembab dan kenyal"
56,"berhubung umur udah wajib pake anti aging jadi nya pertama kali nyobain produk anti aging dari raiku , kemaren beli ini dapet gift toner nya dari sociolla, texture nya kayak gel gitu, muka jadi lembab dan tanda penuaan udah mulai berkurang."
57,"Krna umur udh 25 jadi aku mw coba2 produk anti aging, yg prtma aku coba dr produk raiku dlu, dipake nya sih enak, lembab bgt klo pagi,kulit ku jd ga kering lagi, tp efek mncerahkan nya blm kliatan, krna bru pke 3 minggu, oya ini ga ada wangi nya btw,jd cocok buat yg sensitif sm wan.."
58,Ngga ngerrti lagi kenapa produk local sekarang bagus bangett. Gue love banget sama raiku yg anti aging night cream nya. Setalah sebulan pake gue ngerasa kerutan halus gue sedikit pudar dan muka gue kayak lebih segerrr setelah bangun tidur. Ingredients nya juga alami. Ada kandungan ..
59,Nyobain anti aging night cream ini karena liat review banyak yang bilang bagus. Ini tekstur gel creamnya mirip etude house moistfull collagen cream. Agak thick sih tapi tetep gak ganggu diaplikasiin ke muka. Hasilnya lumayan bikin kulit muka berasa kenyal. Semoga cocok dan bikin ku..
60,"Konsistensi nya agk thick ya, jd agk berat di pake nya..tp ga mslh sih di pake nya jg mlm aja, lmyn buat muka ku glowing klo bangun pagi..muka jg agk cerahan..ga bkin muka ku breakout jg, seneng deh, hrga ny jg ga trlalu mahal.."
61,"Ini rangkaian terkahir yg aku punya dr Raiku. Karena ini series anti aging, pastinya ini bekerja untuk menunda dan mencegah penuaan dini. Pertama pakai, pagi hari nya kukit aku lbh sehat. Memang gak langsung keliatan hasilnya ya. Tapi setelah pemakaian kurang lebih 2 minggu, bebera.."
62,"Abis pake toner, essence terus pakai RAIKU ANTI AGING NIGHT CREAM.. tidur makin relaks! bebas rasa perih karena kulit kering.. terus bangun pagi, kulit auto lembab dan kenyal!!"
63,"kental padat dan cukup melembapkan dipakai gak bikin greasy, tidak terlalu oily juga. Cukup mengunci kelembapan jadi cocok buat step akhir night skincare routine Cara penggunaan: digunakan di step akhir night skincare routine setelah membersihkan wajah dan memakai toner serta se.."
64,Penasaran sama night creamnya. cuma agak ga sreg aja sama isinya. hahahaa. 40 gr tapi pake tube untuk 80 gr/100 gr kayanya. jadi berasa banget langsung kopongnya. lumayan cukup cepet nyerap ke mukaku juga. teksturnya ga terlalu encer juga. ga ada bau apa2. paraben free juga.
65,"Dibandingkan dengan serumnya... ini lebih enak, cepat nyerap dan teksturnya enak untuk dipakai malam. Dipakai gabung dengan serum atau essence lainnya pun tetap masih enak. pemakaian setelah 2 minggu kulit lebih cerah namun untuk noda bekas jerawat masih perlu waktu."
66,"sama seperti krim paginya, cuma teksturnya lebih encer sedikit. it does moisturize my skin, kulit jd terasa lembab dan kenyal. No bad effect though on my skin."
67,"Favorit banget. Di kulit wajahku terasa lembap, Dewy skin banget lah beb cocok untuk malam hari. Cuma isinya sedikit dengan harga yang agak mahal gini bisa digunakan kurleb 2bulan"
68,"Ini dia yang paling canggil.. Kecee banget ni produk, sebelum tidur aku pake ini, pagi hari wajah ku langsung lembab kenyal dan glowing. Padahal kulit ku tipe dry skin yang tergolong parah. Cuma minus nya aku kurang suka karna ini lama meresap nya"
69,"Cream malamnya pun efektif sekali melembabkan kulit, apalagi ika pemakaiannya dilakukan dengan serangkaian berdasarkan series produknya. Wanginya juga enak seperti rangkaian produk anti aging series lainnya."
70,"Dari rangkaian Raiku Beauty anti aging aku ga suka dengan night cream ini. Padahal produk lainnya bagus banget di kulitku, tapi sayang untuk night cream-nya terasa lengket sekali di kulitku jadi aku merasa kurang nyaman saat aku pakai :("
71,"Biasanya aku pakai raiku night cream setelah serumnya. Warnanya putih, tidak berbau dan juga gak bikin wajah jadi greasy/oily. Biasanya aku selalu malas pakai night cream karena wajah sering jadi jerawatan karena over-moisturized, tapi waktu pakai night cream raiku, wajahku malah .."
72,"Emang bgus bgt skincare raiku ini, ngefek bgt bisa bkin glowing dan cerah. Tp sayang bgt di kulit sensitif aku ada kandungan yg gak cocok yaitu milk nya, kulit sensitif ga tahan padahal ini skincare bagus bgtttt"
73,"Krim malam berwarna putih susu dengan tekstur cream yang super light. Hasilnya, mudah menyerap dan gak lengket rasanya di wajah. Sudah mengandung SPF juga tapi cuma 15.kalau aku yang pakai, pasti aku tambahkan krim SPF lagi. Packagingnya cakep, beda sama another morning cReam yang .."
74,"Kemasan produk ini warna pastel dengan kemasan yang aman ada tutup aluminium didalam kemasan, lebih aman, gunakan setelah pakai serum sebelum tidur sehingga paginya kulit terasa lembab dan kenyal suka deh"
75,"RAIKU ANTI AGING MORNING dan NIGHT CREAM Untuk kemasannya sama dengan produk Raiku lainnya. Warna-warni pastel yang ngegemesin. Bentuknya tube yang compact, jadi enak buat dibawa traveling. Oh iyah, untuk kedua product ini punya warna ungu muda yang sama, hanya dibedakan oleh tulis.."
76,"Aku suka banget sama night cream dr raiku ini, tekstur nya seperti gel cream, aku pakai di malam hari dan pas bangun tidur kulit jadi lembab bgt dan kenyal."
77,"buat si night cream nya dua hari pemakaian wajah aku agak panas tpi di hari ketiga ga ada efek yang berarti , malah sangat bekerja banget di wajah aku , pas bangun tidur wajah lebih cerah"
78,"Aku suka banget sama tekture night cream ini, menururku kaya sleeping mask gitu. Terus juga gampang banget meresap ke kulitnya, kudu banget di coba deh"
79,"Beda sama morning cream nya, kalo night cream aku cocok. Mau yang anti aging series ataupun brightening series. Sesuka itu. Pas bangun tidur muka jadi glowing putih bersih cerah merona. haha"
80,"Tekstur night cream ini lebih ke gel, very light dan cepet diserap kulit. Kurang lembab untuk pemilik kulit kering. Tp kalau untuk normal to combination or oily-skinned babes , cream ini nyaman banget!"
81,"Cream ini ampuh banget memudarkan noda dan flek flek hitam di wajah, menyamarkan dan meratakan warna kulit, dan menyamarkan kerutan kerutan halus diwajah ku"
82,"Aku suka banget sama tekture night cream ini, menururku kaya sleeping mask gitu. Terus juga gampang banget meresap ke kulitnya, kudu banget di coba deh"
83,"Beda sama morning cream nya, kalo night cream aku cocok. Mau yang anti aging series ataupun brightening series. Sesuka itu. Pas bangun tidur muka jadi glowing putih bersih cerah merona. haha"
84,"Tekstur night cream ini lebih ke gel, very light dan cepet diserap kulit. Kurang lembab untuk pemilik kulit kering. Tp kalau untuk normal to combination or oily-skinned babes , cream ini nyaman banget!"
85,"Cream ini ampuh banget memudarkan noda dan flek flek hitam di wajah, menyamarkan dan meratakan warna kulit, dan menyamarkan kerutan kerutan halus diwajah ku"
